id,sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
10209,macshell-12.black,Накладка на Macbook-12 macShell-12  (Копия),yes,instock,no,13,variable,
10211,macshell-12.black,black ,yes,instock,no,13,product-variant,10209
10212,macshell-12.purple,purple ,yes,instock,no,9,product-variant,10209
10213,macshell-12.blue,blue ,yes,instock,no,5,product-variant,10209
10153,test,Тестовый товар,no,instock,no,0,variable,
10168,test,pink ,no,instock,no,0,product-variant,10153
6487,crystal.clear,Чехол Crystal Clear,yes,instock,no,1,variable,
9570,crystal.clear,Transparent ,yes,instock,no,1,product-variant,6487
6488,crystal-i6.clear,Чехол Crystal-I6 Clear,yes,instock,no,1,variable,
8989,crystal-i7.clear,Transparent ,yes,instock,no,60,product-variant,6488
6489,crystal-i6p,Чехол Crystal-I6P Clear,yes,instock,no,4,variable,
9435,crystal-i6p,Transparent ,yes,instock,no,4,product-variant,6489
6490,crystal-s6,Чехол Crystal-S6 Clear,yes,instock,no,12,variable,
9428,crystal-s6,Transparent ,yes,instock,no,12,product-variant,6490
6491,crystal-s6e,Чехол Crystal-S6E Clear,yes,instock,no,92,variable,
9407,crystal-s6e,Transparent ,yes,instock,no,92,product-variant,6491
6492,crystal-s5,Чехол Crystal-S5 Clear,yes,instock,no,1,variable,
9400,crystal-s5,Transparent ,yes,instock,no,1,product-variant,6492
6493,diver-i6p.black,Чехол Diver-I6P,yes,instock,no,35,variable,
6494,dotti-i6p.black,black ,yes,instock,no,0,product-variant,6493
6468,brace-i6.black,Чехол Brace-I6,yes,instock,no,3,variable,
9053,brace-i6.black,black ,yes,instock,no,3,product-variant,6468
6469,brace-i6.brown,brown ,yes,instock,no,3,product-variant,6468
6470,brace-i6.red,red ,yes,instock,no,9,product-variant,6468
6471,brace-i6.white,white ,yes,instock,no,3,product-variant,6468
6472,bump-i6.black,Чехол Bump-I6,yes,instock,no,12,variable,
9065,bump-i6.black,black ,yes,instock,no,12,product-variant,6472
6473,bump-i6.blue,blue ,yes,instock,no,15,product-variant,6472
6474,bump-i6.orange,orange ,yes,instock,no,16,product-variant,6472
6475,bump-i6.red,red ,yes,instock,no,15,product-variant,6472
6476,cloud-i6.black,Чехол Cloud-I6,yes,instock,no,27,variable,
9216,cloud-i6.black,black ,yes,instock,no,27,product-variant,6476
6477,cloud-i6.blue,blue ,yes,instock,no,13,product-variant,6476
6478,cloud-i6.purple,purple ,yes,instock,no,17,product-variant,6476
6479,cloud-i6.red,red ,yes,instock,no,17,product-variant,6476
6480,ammo-i6.black,Чехол Ammo-I6,yes,instock,no,16,variable,
9187,ammo-i6.black,black ,yes,instock,no,16,product-variant,6480
6481,ammo-i6.maroon,MAROON ,yes,instock,no,15,product-variant,6480
6482,ammo-i6.blue,blue ,yes,instock,no,13,product-variant,6480
6483,coat-i6.black,Чехол Coat-I6,yes,instock,no,0,variable,
9200,coat-i6.black,black ,yes,instock,no,0,product-variant,6483
6484,coat-i6.gold,gold ,yes,instock,no,4,product-variant,6483
6485,coat-i6.blue,blue ,yes,instock,no,31,product-variant,6483
6486,coat-i6.red,red ,yes,instock,no,11,product-variant,6483
6450,armor-i6p.white,Чехол Armor-i6P,yes,instock,no,8,variable,
9279,armor-i6p.white,white ,yes,instock,no,8,product-variant,6450
9245,armor-i6p.blue,blue ,yes,instock,no,11,product-variant,6450
9244,armor-i6p.black,black ,yes,instock,no,9,product-variant,6450
6451,armor-i6p.yellow,yellow ,yes,instock,no,12,product-variant,6450
6452,armor-i6p.maroon,MAROON ,yes,instock,no,8,product-variant,6450
6453,armor-s6.black,Чехол Armor-S6,yes,instock,no,3,variable,
8534,armor-s6.black,black ,yes,instock,no,3,product-variant,6453
6454,armor-s6.blue,blue ,yes,instock,no,8,product-variant,6453
6455,armor-s6.purple,purple ,yes,instock,no,11,product-variant,6453
6456,bandpro-i6.black,Чехол BandPro-I6,yes,instock,no,2,variable,
9281,bandpro-i6.black,black ,yes,instock,no,2,product-variant,6456
6457,bandpro-i6.blue,blue ,yes,instock,no,15,product-variant,6456
6458,bandpro-i6.red,red ,yes,instock,no,15,product-variant,6456
6459,bandpro-i6.grey,grey ,yes,instock,no,15,product-variant,6456
6460,bandpro-i6.pink,pink ,yes,instock,no,29,product-variant,6456
6461,bare-i6.black,Чехол Bare-I6,yes,instock,no,2,variable,
6467,bare-i6.white,Transparent ,yes,instock,no,0,product-variant,6461
6462,bare-i6.red,red ,yes,instock,no,5,product-variant,6461
6463,bare-i6.clear,black ,yes,instock,no,6,product-variant,6461
6464,bare-i6.blue,blue ,yes,instock,no,5,product-variant,6461
6465,bare-i6.pink,pink ,yes,instock,no,4,product-variant,6461
6431,fellymini.black,Чехол Felly mini,yes,instock,no,2,variable,
8617,fellymini.blue,blue ,yes,instock,no,0,product-variant,6431
8591,fellymini.black,black ,yes,instock,no,2,product-variant,6431
6432,fellymini.orange,orange ,yes,instock,no,0,product-variant,6431
6433,fellymini.pink,pink ,yes,instock,no,2,product-variant,6431
6434,bambyair.blue,Чехол Bamby Air,yes,instock,no,2,variable,
9572,bambyair.blue,blue ,yes,instock,no,2,product-variant,6434
6435,bambyair.orange,orange ,yes,instock,no,2,product-variant,6434
6436,bambyair.pink,pink ,yes,instock,no,0,product-variant,6434
