id;sku;Product name;Manage stock;Stock status;Backorders;Stock;Price;Type;Parent ID
14419;ringmount;Автодержатель Ring Mount;yes;instock;no;;;variable;
14446;ringmount.grey;grey ;yes;instock;no;20;299;product-variant;14419
14429;ringmount.gold;gold ;yes;instock;no;20;299;product-variant;14419
14420;ringmount.black;black ;yes;instock;no;60;299;product-variant;14419
14414;vntgrip-2;Автодержатель VentGrip-2;yes;instock;no;;;variable;
14415;ventgrip-2.black;black ;yes;instock;no;20;169;product-variant;14414
14405;auramount;Автодержатель AuraMount;yes;instock;no;;;variable;
14406;auramount.black;black ;yes;instock;no;10;1999;product-variant;14405
14396;ubaner-mb;Сумка для ноутбука Urbaner-MB;yes;instock;no;;;variable;
14397;urbaner-mb.blue;blue ;yes;instock;no;8;999;product-variant;14396
14392;shellcase-13;Накладка на Macbook Pro 13 with Touch Bar ShellCase-13;yes;instock;no;;;variable;
14395;shellcase-13.clear;Clear ;yes;instock;no;10;699;product-variant;14392
14394;shellcase-13.blue;blue ;yes;instock;no;20;699;product-variant;14392
14393;shellcase-13.black;black ;yes;instock;no;30;699;product-variant;14392
14373;shellcase-15;Накладка на Macbook Pro 15 with Touch Bar ShellCase-15;yes;instock;no;;;variable;
14386;shellcase-15.clear;Clear ;yes;instock;no;10;799;product-variant;14373
14380;shellcase-15.blue;blue ;yes;instock;no;20;799;product-variant;14373
14374;shellcase-15.black;black ;yes;instock;no;30;799;product-variant;14373
14371;macbook-pro15;Защитная пленка MacBook Pro 15;yes;instock;no;;;variable;
14372;macbook-pro15.clear;Clear ;yes;instock;no;0;0;product-variant;14371
14365;macbook-pro13;Защитная пленка  MacBook Pro 13;yes;instock;no;;;variable;
14366;macbook-pro13.clear;Clear ;yes;instock;no;0;0;product-variant;14365
14349;blueclass;Bluetooth гарнитура BlueClass-2;yes;instock;no;;;variable;
14361;blueclass-2.brown;brown ;yes;instock;no;0;0;product-variant;14349
14350;blueclass-2.black;black ;yes;instock;no;19;499;product-variant;14349
14326;halo;Bluetooth гарнитура Halo;yes;instock;no;;;variable;
14338;halo.white;white ;yes;instock;no;10;649;product-variant;14326
14327;halo.black;black ;yes;instock;no;0;0;product-variant;14326
14313;tribe;Наушники Tribe;yes;instock;no;;;variable;
14323;tribe.yellow;yellow ;yes;instock;no;10;469;product-variant;14313
14320;tribe.red;red ;yes;instock;no;10;469;product-variant;14313
14317;tribe.pink;pink ;yes;instock;no;10;469;product-variant;14313
14314;tribe.black;black ;yes;instock;no;10;469;product-variant;14313
14288;tag-15;УМБ Tag-15;yes;instock;no;;;variable;
14305;tag-15.silver;silver ;yes;instock;no;10;1299;product-variant;14288
14297;tag-15.blue;blue ;yes;instock;no;10;1299;product-variant;14288
14289;tag-15.black;black ;yes;instock;no;20;1299;product-variant;14288
14242;voltag-10;УМБ volTag-10;yes;instock;no;;;variable;
14277;voltag-10.white;white ;yes;instock;no;20;499;product-variant;14242
14266;voltag-10.pink;pink ;yes;instock;no;10;499;product-variant;14242
14255;voltag-10.blue;blue ;yes;instock;no;10;499;product-variant;14242
14243;voltag-10.black;black ;yes;instock;no;19;499;product-variant;14242
14236;thundermate-hv;Переходник thunderMate-HV;yes;instock;no;;;variable;
14237;thundermate-hv.white;white ;yes;instock;no;10;749;product-variant;14236
14209;linkmate-ltc;Кабель linkMate-LTC;yes;instock;no;;;variable;
14222;linkmate-ltc.white;white ;yes;instock;no;0;0;product-variant;14209
14210;linkmate-ltc.black;black ;yes;instock;no;20;399;product-variant;14209
14177;unilink-caf;кабель uniLink-CAF;yes;instock;no;;;variable;
14198;unilink-caf.grey;grey ;yes;instock;no;10;299;product-variant;14177
14188;unilink-caf.gold;gold ;yes;instock;no;10;299;product-variant;14177
14178;unilink-caf.black;black ;yes;instock;no;20;299;product-variant;14177
14157;сorehub-c;USB 3.1 Type-C Хаб CoreHub-C;yes;instock;no;;;variable;
14171;corehub-c.grey;Space Grey ;yes;instock;no;40;3499;product-variant;14157
14164;corehub-c.silver;silver ;yes;instock;no;15;3499;product-variant;14157
14159;corehub-c.gold;gold ;yes;instock;no;10;3499;product-variant;14157
14148;;USB 3.0 Хаб miniHub;yes;instock;no;;;variable;
14155;minihub.silver;white ;yes;instock;no;20;569;product-variant;14148
14143;;USB Type-C  Хаб MiniHub-C4;yes;instock;no;;;variable;
14146;minihub-c4.spacegrey;Space Grey ;yes;instock;no;20;749;product-variant;14143
14144;minihub-C4.silver;silver ;yes;instock;no;20;749;product-variant;14143
14116;surfacehab;USB Хаб surfaceHub;yes;instock;no;;;variable;
14119;surfacehub.silver;silver ;yes;instock;no;5;1199;product-variant;14116
14117;surfacehub.grey;grey ;yes;instock;no;0;0;product-variant;14116
14098;synshub-c3;USB Type-C Хаб SyncHUB-C3;yes;instock;no;;;variable;
14107;synchub-c3.silver;silver ;yes;instock;no;20;999;product-variant;14098
14099;synchub-c3.grey;grey ;yes;instock;no;20;999;product-variant;14098
14093;barhub-c;USB Type-C Хаб BarHub-C;yes;instock;no;;;variable;
14094;barhub-c.gold;gold ;yes;instock;no;10;2399;product-variant;14093
14095;barhub-c.silver;silver ;yes;instock;no;15;2399;product-variant;14093
14096;barhub-c.grey;grey ;yes;instock;no;40;2399;product-variant;14093
5958;;Bluetooth Колонка Sense;yes;instock;no;;;variable;
10459;sense.black;black ;yes;instock;no;7;1699;product-variant;5958
6487;;Чехол Crystal Clear;yes;instock;no;;;variable;
9570;crystal.clear;Transparent ;yes;instock;no;3;299;product-variant;6487
6488;;Чехол Crystal-I6 Clear;yes;instock;no;;;variable;
8989;crystal-i6.clear;Transparent ;yes;instock;no;0;0;product-variant;6488
6489;;Чехол Crystal-I6P Clear;yes;instock;no;;;variable;
9435;crystal-i6p.clear;Transparent ;yes;instock;no;6;299;product-variant;6489
6490;crystal-s6.clear;Чехол Crystal-S6 Clear;yes;instock;no;4;299;variable;
9428;crystal-s6.clear;Transparent ;yes;instock;no;4;299;product-variant;6490
6491;crystal-s6e.clear;Чехол Crystal-S6E Clear;yes;instock;no;92;299;variable;
9407;crystal-s6e.clear;Transparent ;yes;instock;no;92;299;product-variant;6491
6492;crystal-s5.clear;Чехол Crystal-S5 Clear;yes;instock;no;1;199;variable;
9400;crystal-s5.clear;Transparent ;yes;instock;no;1;199;product-variant;6492
6493;diver-i6p.black;Чехол Diver-I6P;yes;instock;no;31;799;variable;
6494;diver-i6p.black;black ;yes;instock;no;31;799;product-variant;6493
6468;;Чехол Brace-I6;yes;instock;no;;;variable;
9053;brace-I6.black;black ;yes;instock;no;2;369;product-variant;6468
6469;brace-i6.brown;brown ;yes;instock;no;4;369;product-variant;6468
6470;brace-i6.red;red ;yes;instock;no;9;369;product-variant;6468
6471;brace-i6.white;white ;yes;instock;no;3;369;product-variant;6468
6472;bump-i6.black;Чехол Bump-I6;yes;instock;no;12;249;variable;
9065;bump-i6.black;black ;yes;instock;no;12;249;product-variant;6472
6473;bump-i6.blue;blue ;yes;instock;no;15;249;product-variant;6472
6474;bump-i6.orange;orange ;yes;instock;no;16;249;product-variant;6472
6475;bump-i6.red;red ;yes;instock;no;15;249;product-variant;6472
6476;cloud-i6.black;Чехол Cloud-I6;yes;instock;no;28;299;variable;
9216;cloud-i6.black;black ;yes;instock;no;28;299;product-variant;6476
6477;cloud-i6.blue;blue ;yes;instock;no;13;249;product-variant;6476
6478;cloud-i6.purple;purple ;yes;instock;no;67;249;product-variant;6476
6479;cloud-i6.red;red ;yes;instock;no;17;249;product-variant;6476
6480;ammo-i6.black;Чехол Ammo-I6;yes;instock;no;12;343;variable;
9187;ammo-i6.black;black ;yes;instock;no;12;343;product-variant;6480
6481;ammo-i6.maroon;MAROON ;yes;instock;no;15;343;product-variant;6480
6482;ammo-i6.blue;blue ;yes;instock;no;13;343;product-variant;6480
6483;coat-i6.black;Чехол Coat-I6;yes;instock;no;0;0;variable;
9200;coat-i6.black;black ;yes;instock;no;0;0;product-variant;6483
6484;coat-i6.gold;gold ;yes;instock;no;1;343;product-variant;6483
6485;coat-i6.blue;blue ;yes;instock;no;17;343;product-variant;6483
6486;coat-i6.red;red ;yes;instock;no;25;343;product-variant;6483
6450;;Чехол Armor-i6P;yes;instock;no;;;variable;
9279;armor-i6p.white;white ;yes;instock;no;6;449;product-variant;6450
9245;armor-i6p.blue;blue ;yes;instock;no;51;449;product-variant;6450
