Название товара,Артикул,Цена,Цена со скидкой,Image main,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,main product,Категории,Описание,Характеристика,Видео,наличие,цвет,keywords,-
Гарнитура Swank Blue,swank.blue,199,-,Swank-Blue (1).jpg,Swank-Blue (2).jpg,Swank-001.png,Swank-Green (2).jpg,Swank-Red (2).jpg,,,,,,,Гарнитура Swank Blue,,"Комфортные универсальные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swank» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swank» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Brazen» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Brazen» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Blue,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swank, Blue",-
Гарнитура Swank Green,swank.green,199,-,Swank-Green (1).jpg,Swank-Blue (2).jpg,Swank-001.png,Swank-Green (2).jpg,Swank-Red (2).jpg,,,,,,,Гарнитура Swank Blue,,"Комфортные универсальные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swank» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swank» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Brazen» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Brazen» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,N,Green,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swank,Green",-
Гарнитура Swank Pink,swank.pink,199,-,Swank-Pink (1).jpg,Swank-Blue (2).jpg,Swank-001.png,Swank-Green (2).jpg,Swank-Red (2).jpg,,,,,,,Гарнитура Swank Blue,,"Комфортные универсальные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swank» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swank» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Brazen» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Brazen» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Pink,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swank,Pink",-
Гарнитура Swank Red,swank.red,199,-,Swank-Red (1).jpg,Swank-Blue (2).jpg,Swank-001.png,Swank-Green (2).jpg,Swank-Red (2).jpg,,,,,,,Гарнитура Swank Blue,,"Комфортные универсальные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swank» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swank» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Brazen» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Brazen» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Red,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swank,Red",-
Гарнитура Swank Yellow,swank.yellow,199,-,Swank-Yellow.jpg,Swank-Blue (2).jpg,Swank-001.png,Swank-Green (2).jpg,Swank-Red (2).jpg,,,,,,,Гарнитура Swank Blue,,"Комфортные универсальные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swank» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swank» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Brazen» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Brazen» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Yellow,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swank,Yellow",-
Гарнитура Swish Blue,swish.blue,149,-,Swis blue (3).jpg,Swish-Colors_1024x1024.jpg,Swis blue (4).jpg,Swis blue (5).jpg,,,,,,,,Гарнитура Swish Blue,,"Универсальные стильные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swish» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swish» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Swish» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Swish» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Blue,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swish,Blue",-
Гарнитура Swish Green,swish.green,149,-,Swish-Green.jpg,Swish-Colors_1024x1024.jpg,Swis blue (4).jpg,Swis blue (5).jpg,,,,,,,,Гарнитура Swish Blue,,"Универсальные стильные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swish» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swish» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Swish» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Swish» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Green,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swish,Green",-
Гарнитура Swish Pink,swish.pink,149,-,Swish-Pink (1).jpg,Swish-Colors_1024x1024.jpg,Swis blue (4).jpg,Swis blue (5).jpg,,,,,,,,Гарнитура Swish Blue,,"Универсальные стильные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swish» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swish» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Swish» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Swish» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,N,Pink,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swish,Pink",-
Гарнитура Swish Red,swish.red,149,-,Swish-Red.jpg,Swish-Colors_1024x1024.jpg,Swis blue (4).jpg,Swis blue (5).jpg,,,,,,,,Гарнитура Swish Blue,,"Универсальные стильные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swish» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swish» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Swish» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Swish» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Red,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swish,Red",-
Гарнитура Swish Yellow,swish.yellow,149,-,Swish-Yellow.jpg,Swish-Colors_1024x1024.jpg,Swis blue (4).jpg,Swis blue (5).jpg,,,,,,,,Гарнитура Swish Blue,,"Универсальные стильные стерео наушники
•        Ваши любимые музыкальные треки для тренировок в кристально-чистом звучании
•        Невероятно лёгкие, «Swish» составят Вам компанию во время тренировок или просто в повседневной жизни
•        Форма кабеля исключает его заламывание, скручивание и спутывание 
•        «Swish» плотно прилегают, обеспечивая тем самым изоляцию от постороннего шума

Музыка, переплетённая со стилем
•        Эргономичный дизайн вкладышей обеспечивает комфортное ношение
•        Кнопка вызова и микрофон позволяют совершать звонки
•        «Swish» совместимы со всеми устройствами с типом разъема 3,5 мм
•        «Swish» доступны в различных расцветках
","Тип наушников  Вкладыши
Тип подключения  Проводное
Интерфейс проводного подключения  1 x mini-jack (разъем 3.5 мм)
Наличие активного шумоподавления  Нет
Кабель  Двухсторонний
Диапазон частот наушников  20 - 20 000 Гц
Сопротивление наушников  16 Ом
Чувствительность наушников  112 ± 3 дБ
Максимальная входная мощность наушников  15 мВт
Конструкция микрофона  Размещенный на проводе
Чувствительность микрофона  38 ± 3 дБ
Дополнительные возможности  10 мм динамики
Встроенная пассивная шумоизоляция
3 размера мягких силиконовых вкладышей
Длина шнура  1.2 м
Вес  24 г",-,Y,Yellow,"Проводные наушники, микрофоном, наушники, гарнитура, наушники спорт, Swish,Yellow",-
